model,dataset,total_samples,error_samples,error_rate,hard_type,count,ratio
textcnn,test,1178,99,0.084,negation,27,0.2727
textcnn,test,1178,99,0.084,transition,26,0.2626
textcnn,test,1178,99,0.084,other,23,0.2323
textcnn,test,1178,99,0.084,colloquial,11,0.1111
textcnn,test,1178,99,0.084,degree,10,0.101
textcnn,test,1178,99,0.084,implicit,2,0.0202
textcnn,hard_test,300,30,0.1,negation,8,0.2667
textcnn,hard_test,300,30,0.1,transition,8,0.2667
textcnn,hard_test,300,30,0.1,colloquial,7,0.2333
textcnn,hard_test,300,30,0.1,degree,5,0.1667
textcnn,hard_test,300,30,0.1,implicit,2,0.0667
bilstm,test,1178,131,0.1112,negation,38,0.2901
bilstm,test,1178,131,0.1112,other,32,0.2443
bilstm,test,1178,131,0.1112,transition,31,0.2366
bilstm,test,1178,131,0.1112,colloquial,16,0.1221
bilstm,test,1178,131,0.1112,degree,13,0.0992
bilstm,test,1178,131,0.1112,implicit,1,0.0076
bilstm,hard_test,300,35,0.1167,negation,13,0.3714
bilstm,hard_test,300,35,0.1167,colloquial,8,0.2286
bilstm,hard_test,300,35,0.1167,degree,8,0.2286
bilstm,hard_test,300,35,0.1167,transition,5,0.1429
bilstm,hard_test,300,35,0.1167,implicit,1,0.0286
bert,test,1178,147,0.1248,transition,51,0.3469
bert,test,1178,147,0.1248,other,39,0.2653
bert,test,1178,147,0.1248,negation,34,0.2313
bert,test,1178,147,0.1248,degree,11,0.0748
bert,test,1178,147,0.1248,colloquial,10,0.068
bert,test,1178,147,0.1248,implicit,2,0.0136
bert,hard_test,300,30,0.1,negation,8,0.2667
bert,hard_test,300,30,0.1,colloquial,7,0.2333
bert,hard_test,300,30,0.1,transition,7,0.2333
bert,hard_test,300,30,0.1,degree,6,0.2
bert,hard_test,300,30,0.1,implicit,2,0.0667
